 Week 1
 Date	Time (ET)	 Away Team	 Home Team
 Thu Sep 8 	8:30 pm 	 Carolina Panthers 	 Denver Broncos
 Sun Sep 11 	1:00 pm 	 Buffalo Bills 	 Baltimore Ravens
  	1:00 pm 	 Chicago Bears 	 Houston Texans
  	1:00 pm 	 Cincinnati Bengals 	 New York Jets
  	1:00 pm 	 Cleveland Browns 	 Philadelphia Eagles
  	1:00 pm 	 Green Bay Packers 	 Jacksonville Jaguars
  	1:00 pm 	 Minnesota Vikings 	 Tennessee Titans
  	1:00 pm 	 Oakland Raiders 	 New Orleans Saints
  	1:00 pm 	 San Diego Chargers 	 Kansas City Chiefs
  	1:00 pm 	 Tampa Bay Buccaneers 	 Atlanta Falcons
  	4:05 pm 	 Miami Dolphins 	 Seattle Seahawks
  	4:25 pm 	 Detroit Lions 	 Indianapolis Colts
  	4:25 pm 	 New York Giants 	 Dallas Cowboys
  	8:30 pm 	 New England Patriots 	 Arizona Cardinals
 Mon Sep 12 	7:10 pm 	 Pittsburgh Steelers 	 Washington Redskins
  	10:20 pm 	 Los Angeles Rams 	 San Francisco 49ers
  Week 2
 Date	Time (ET)	 Away Team	 Home Team
 Thu Sep 15 	8:25 pm 	 New York Jets 	 Buffalo Bills
 Sun Sep 18 	1:00 pm 	 Baltimore Ravens 	 Cleveland Browns
  	1:00 pm 	 Cincinnati Bengals 	 Pittsburgh Steelers
  	1:00 pm 	 Dallas Cowboys 	 Washington Redskins
  	1:00 pm 	 Kansas City Chiefs 	 Houston Texans
  	1:00 pm 	 Miami Dolphins 	 New England Patriots
  	1:00 pm 	 New Orleans Saints 	 New York Giants
  	1:00 pm 	 San Francisco 49ers 	 Carolina Panthers
  	1:00 pm 	 Tennessee Titans 	 Detroit Lions
  	4:05 pm 	 Seattle Seahawks 	 Los Angeles Rams
  	4:05 pm 	 Tampa Bay Buccaneers 	 Arizona Cardinals
  	4:25 pm 	 Atlanta Falcons 	 Oakland Raiders
  	4:25 pm 	 Indianapolis Colts 	 Denver Broncos
  	4:25 pm 	 Jacksonville Jaguars 	 San Diego Chargers
  	8:30 pm 	 Green Bay Packers 	 Minnesota Vikings
 Mon Sep 19 	8:30 pm 	 Philadelphia Eagles 	 Chicago Bears
  Week 3
 Date	Time (ET)	 Away Team	 Home Team
 Thu Sep 22 	8:25 pm 	 Houston Texans 	 New England Patriots
 Sun Sep 25 	1:00 pm 	 Arizona Cardinals 	 Buffalo Bills
  	1:00 pm 	 Baltimore Ravens 	 Jacksonville Jaguars
  	1:00 pm 	 Cleveland Browns 	 Miami Dolphins
  	1:00 pm 	 Denver Broncos 	 Cincinnati Bengals
  	1:00 pm 	 Detroit Lions 	 Green Bay Packers
  	1:00 pm 	 Minnesota Vikings 	 Carolina Panthers
  	1:00 pm 	 Oakland Raiders 	 Tennessee Titans
